date,close
2007-02-01,0.005094
2007-03-01,-0.02614
2007-04-01,0.04853
2007-05-01,0.05201
2007-06-01,-0.01607
2007-07-01,0.03801
2007-08-01,-0.06389
2007-09-01,0.06652
2007-10-01,0.002476
2007-11-01,-0.02404
2007-12-01,-0.01063
2008-01-01,-0.05949
2008-02-01,-0.0356
2008-03-01,0.01321
2008-04-01,0.02087
2008-05-01,-0.001434
2008-06-01,-0.0427
2008-07-01,-0.0574
2008-08-01,0.02543
2008-09-01,-0.0691
2008-10-01,-0.1542
2008-11-01,-0.08031
2008-12-01,0.05813
2009-01-01,-0.0375
2009-02-01,-0.1648
2009-03-01,0.0424
2009-04-01,0.06451
2009-05-01,0.05678
2009-06-01,0.03897
2009-07-01,-0.04783
2009-08-01,0.111
2009-09-01,0.05759
2009-10-01,-0.007828
2009-11-01,0.07739
2009-12-01,-0.003478
2010-01-01,-0.02241
2010-02-01,0.01285
2010-03-01,0.05086
2010-04-01,0.01551
2010-05-01,-0.08005
2010-06-01,-0.03577
2010-07-01,0.07813
2010-08-01,-0.03448
2010-09-01,0.06741
2010-10-01,0.02377
2010-11-01,-0.002383
2010-12-01,0.03978
2011-01-01,0.0311
2011-02-01,0.01433
2011-03-01,-0.002139
2011-04-01,0.03242
2011-05-01,0.001199
2011-06-01,-0.002194
2011-07-01,0.002626
2011-08-01,-0.06696
2011-09-01,-0.03641
2011-10-01,0.02568
2011-11-01,0.001359
2011-12-01,0.04591
2012-01-01,0.0526
2012-02-01,0.01774
2012-03-01,0.02592
2012-04-01,-0.009181
2012-05-01,-0.05326
2012-06-01,0.03477
2012-07-01,-0.0001404
2012-08-01,0.03502
2012-09-01,0.02425
2012-10-01,-0.01827
2012-11-01,-0.02697
2012-12-01,0.01186
2013-01-01,0.02802
2013-02-01,0.03652
2013-03-01,0.02349
2013-04-01,0.03738
2013-05-01,0.01685
2013-06-01,-0.0002249
2013-07-01,0.02563
2013-08-01,-0.04249
2013-09-01,0.02812
2013-10-01,0.007576
2013-11-01,0.03268
2013-12-01,0.01838
2014-01-01,0.0159
2014-02-01,-0.01494
2014-03-01,0.01477
2014-04-01,0.007108
2014-05-01,0.01099
2014-06-01,0.006544
2014-07-01,-0.993
2014-08-01,144.5
2014-09-01,-0.003246
2014-10-01,0.0204
2014-11-01,0.02517
2014-12-01,-0.000286
2015-01-01,-0.03693
2015-02-01,0.05638
2015-03-01,-0.01967
2015-04-01,0.01475
2015-05-01,-0.00153
2015-06-01,-0.02172
2015-07-01,0.006379
2015-08-01,-0.06789
2015-09-01,-0.02575
2015-10-01,0.09695
2015-11-01,0.003193
2015-12-01,-0.01664
2016-01-01,-0.05502
2016-02-01,0.003049
2016-03-01,0.07075
2016-04-01,0.005004
2016-05-01,0.0007652
2016-06-01,0.008028
2016-07-01,0.02801
2016-08-01,-0.001698
2016-09-01,-0.005038
2016-10-01,-0.009056
2016-11-01,0.05408
2016-12-01,0.03341
2017-01-01,0.005136
2017-02-01,0.04773
2017-03-01,-0.007159
2017-04-01,0.01342
2017-05-01,0.003257
2017-06-01,0.01623
2017-07-01,0.02536
2017-08-01,0.002604
2017-09-01,0.02082
2017-10-01,0.04339
2017-11-01,0.03829
2017-12-01,0.01841
2018-01-01,0.05786
2018-02-01,-0.04284
2018-03-01,-0.03466
2018-04-01,0.00006208
2018-05-01,0.01046
2018-06-01,-0.005914
2018-07-01,0.04713
2018-08-01,0.02162
2018-09-01,0.01901
2018-10-01,-0.05074
2018-11-01,0.01683
2018-12-01,-0.08658
2019-01-01,0.07168
2019-02-01,0.03665
2019-03-01,0.00049
2019-04-01,0.02562
2019-05-01,-0.06686
2019-06-01,0.07811
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,0.006779
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,-0.01045
2020-03-01,-0.2161
2020-04-01,0.0348
